|Ссылка на статью| |Заголовок| |Редактор, автор|
|https://docs.python.org/3/whatsnew/3.12.html| |<h1>What’s New In Python 3.12<a class="headerlink" href="#what-s-new-in-python-3-12" title="Link to this heading">¶</a></h1>| | Editor: Adam Turner  |
|https://docs.python.org/3/whatsnew/3.11.html| |<h1>What’s New In Python 3.11<a class="headerlink" href="#what-s-new-in-python-3-11" title="Link to this heading">¶</a></h1>| | Editor: Pablo Galindo Salgado  |
|https://docs.python.org/3/whatsnew/3.10.html| |<h1>What’s New In Python 3.10<a class="headerlink" href="#what-s-new-in-python-3-10" title="Link to this heading">¶</a></h1>| | Editor: Pablo Galindo Salgado  |
|https://docs.python.org/3/whatsnew/3.9.html| |<h1>What’s New In Python 3.9<a class="headerlink" href="#what-s-new-in-python-3-9" title="Link to this heading">¶</a></h1>| | Editor: Łukasz Langa  |
|https://docs.python.org/3/whatsnew/3.8.html| |<h1>What’s New In Python 3.8<a class="headerlink" href="#what-s-new-in-python-3-8" title="Link to this heading">¶</a></h1>| | Editor: Raymond Hettinger  |
|https://docs.python.org/3/whatsnew/3.7.html| |<h1>What’s New In Python 3.7<a class="headerlink" href="#what-s-new-in-python-3-7" title="Link to this heading">¶</a></h1>| | Editor: Elvis Pranskevichus <elvis@magic.io>  |
|https://docs.python.org/3/whatsnew/3.6.html| |<h1>What’s New In Python 3.6<a class="headerlink" href="#what-s-new-in-python-3-6" title="Link to this heading">¶</a></h1>| | Editors: Elvis Pranskevichus <elvis@magic.io>, Yury Selivanov <yury@magic.io>  |
|https://docs.python.org/3/whatsnew/3.5.html| |<h1>What’s New In Python 3.5<a class="headerlink" href="#what-s-new-in-python-3-5" title="Link to this heading">¶</a></h1>| | Editors: Elvis Pranskevichus <elvis@magic.io>, Yury Selivanov <yury@magic.io>  |
|https://docs.python.org/3/whatsnew/3.4.html| |<h1>What’s New In Python 3.4<a class="headerlink" href="#what-s-new-in-python-3-4" title="Link to this heading">¶</a></h1>| | Author: R. David Murray <rdmurray@bitdance.com> (Editor)  |
|https://docs.python.org/3/whatsnew/3.3.html| |<h1>What’s New In Python 3.3<a class="headerlink" href="#what-s-new-in-python-3-3" title="Link to this heading">¶</a></h1>| | PEP 405 - Python Virtual EnvironmentsPEP written by Carl Meyer; implementation by Carl Meyer and Vinay Sajip  |
|https://docs.python.org/3/whatsnew/3.2.html| |<h1>What’s New In Python 3.2<a class="headerlink" href="#what-s-new-in-python-3-2" title="Link to this heading">¶</a></h1>| | Author: Raymond Hettinger  |
|https://docs.python.org/3/whatsnew/3.1.html| |<h1>What’s New In Python 3.1<a class="headerlink" href="#what-s-new-in-python-3-1" title="Link to this heading">¶</a></h1>| | Author: Raymond Hettinger  |
|https://docs.python.org/3/whatsnew/3.0.html| |<h1>What’s New In Python 3.0<a class="headerlink" href="#what-s-new-in-python-3-0" title="Link to this heading">¶</a></h1>| | Author: Guido van Rossum  |
|https://docs.python.org/3/whatsnew/2.7.html| |<h1>What’s New in Python 2.7<a class="headerlink" href="#what-s-new-in-python-2-7" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling (amk at amk.ca)  |
|https://docs.python.org/3/whatsnew/2.6.html| |<h1>What’s New in Python 2.6<a class="headerlink" href="#what-s-new-in-python-2-6" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling (amk at amk.ca)  |
|https://docs.python.org/3/whatsnew/2.5.html| |<h1>What’s New in Python 2.5<a class="headerlink" href="#what-s-new-in-python-2-5" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling  |
|https://docs.python.org/3/whatsnew/2.4.html| |<h1>What’s New in Python 2.4<a class="headerlink" href="#what-s-new-in-python-2-4" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling  |
|https://docs.python.org/3/whatsnew/2.3.html| |<h1>What’s New in Python 2.3<a class="headerlink" href="#what-s-new-in-python-2-3" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling  |
|https://docs.python.org/3/whatsnew/2.2.html| |<h1>What’s New in Python 2.2<a class="headerlink" href="#what-s-new-in-python-2-2" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling  |
|https://docs.python.org/3/whatsnew/2.1.html| |<h1>What’s New in Python 2.1<a class="headerlink" href="#what-s-new-in-python-2-1" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling  |
|https://docs.python.org/3/whatsnew/2.0.html| |<h1>What’s New in Python 2.0<a class="headerlink" href="#what-s-new-in-python-2-0" title="Link to this heading">¶</a></h1>| | Author: A.M. Kuchling and Moshe Zadka  |
